time (seconds),encoderLeft (meters),encoderRight (meters)
8722.899,1222.818115234375,1313.809814453125
8723,1222.818115234375,1313.809814453125
8723.1,1222.818115234375,1313.809814453125
8723.201,1222.818115234375,1313.809814453125
8723.3,1222.818115234375,1313.809814453125
8723.403,1222.818115234375,1313.809814453125
8723.5,1222.818115234375,1313.809814453125
8723.6,1222.818115234375,1313.809814453125
8723.701,1222.818115234375,1313.809814453125
8723.801,1222.818115234375,1313.809814453125
8723.899,1222.818115234375,1313.809814453125
8724.001,1222.818115234375,1313.809814453125
8724.1,1222.818115234375,1313.809814453125
8724.201,1222.818115234375,1313.809814453125
8724.301,1222.818115234375,1313.809814453125
8724.401,1222.818115234375,1313.809814453125
8724.5,1222.818115234375,1313.809814453125
8724.599,1222.818115234375,1313.809814453125
8724.7,1222.818115234375,1313.809814453125
8724.798,1222.818115234375,1313.809814453125
8724.902,1222.818115234375,1313.809814453125
8725.001,1222.818115234375,1313.809814453125
8725.1,1222.818115234375,1313.809814453125
8725.2,1222.818115234375,1313.809814453125
8725.299,1222.818115234375,1313.809814453125
8725.399,1222.818115234375,1313.809814453125
8725.5,1222.818115234375,1313.809814453125
8725.602,1222.818115234375,1313.809814453125
8725.699,1222.818115234375,1313.809814453125
8725.8,1222.818115234375,1313.809814453125
8725.901,1222.818115234375,1313.809814453125
8726.001,1222.818115234375,1313.809814453125
8726.101,1222.818115234375,1313.809814453125
8726.201,1222.818115234375,1313.809814453125
8726.301,1222.818115234375,1313.809814453125
8726.401,1222.818115234375,1313.809814453125
8726.501,1222.818115234375,1313.809814453125
8726.602,1222.818115234375,1313.809814453125
8726.701,1222.818115234375,1313.809814453125
8726.802,1222.870849609375,1313.8770751953125
8726.901,1222.93017578125,1313.948974609375
8727.001,1222.9947509765625,1314.0244140625
8727.101,1223.06201171875,1314.1019287109375
8727.201,1223.1370849609375,1314.1854248046875
8727.3,1223.2166748046875,1314.2724609375
8727.4,1223.3006591796875,1314.36328125
8727.497,1223.3885498046875,1314.45751953125
8727.6,1223.480712890625,1314.555419921875
8727.7,1223.573974609375,1314.654296875
8727.801,1223.6707763671875,1314.7564697265625
8727.905,1223.769775390625,1314.8607177734375
8728.001,1223.8704833984375,1314.9666748046875
8728.1,1223.9735107421875,1315.07470703125
8728.195,1224.077392578125,1315.183837890625
8728.3,1224.1817626953125,1315.2933349609375
8728.397,1224.2862548828125,1315.4031982421875
8728.501,1224.3905029296875,1315.5130615234375
8728.6,1224.493896484375,1315.6224365234375
8728.699,1224.596923828125,1315.7314453125
8728.79,1224.6981201171875,1315.839111328125
8728.899,1224.7972412109375,1315.9453125
8728.995,1224.8934326171875,1316.04931640625
8729.101,1224.9886474609375,1316.1527099609375
8729.201,1225.0806884765625,1316.2537841796875
8729.302,1225.169189453125,1316.3521728515625
8729.4,1225.254638671875,1316.4486083984375
